codigo_estacion;nombre;latitud;longitud;comuna;provincia;region;pais
10701001;Lago Espolon;-43.2158;-71.9306;Futaleufu;Palena Province;Los Lagos;Chile
10704001;Palena;-43.6175;-71.7839;Palena;Palena Province;Los Lagos;Chile
10704002;Rio Futaleufu Ante Junta Rio Malito;-43.4492;-72.1075;Futaleufu;Palena Province;Los Lagos;Chile
10900001;Quemchi;-42.1408;-73.4731;Quemchi;Chiloe;Los Lagos;Chile
10900002;Ancud 2 (Doh);-41.8792;-73.7964;Ancud;Chiloe;Los Lagos;Chile
10901003;Chonchi;-42.6228;-73.7728;Chonchi;Chiloe;Los Lagos;Chile
10901004;Castro 2 (Doh);-42.4794;-73.7742;Castro;Chiloe;Los Lagos;Chile
10902002;Quellon;-43.1086;-73.6119;Quellón;Chiloé Province;Los Lagos;Chile
10903003;Ancud 1 (Dga);-41.8625;-73.8192;Ancud;Chiloe;Los Lagos;Chile
10904005;Chepu;-42.0464;-73.9742;Ancud;Chiloe;Los Lagos;Chile
10906004;Cucao;-42.6186;-74.1081;Chonchi;Chiloe;Los Lagos;Chile
11023001;Valle Rio Frio;-43.4683;-72.3536;Chaitén;Palena;Los Lagos;Chile
11023002;Villa Santa Lucia;-43.4128;-72.3658;Chaitén;Palena;Los Lagos;Chile
11031001;Lago Verde;-44.2394;-71.8461;Lago Verde;Coyhaique Province;Aysén;Chile
11041001;La Junta;-43.9708;-72.4056;Cisnes;Aysen;Aysén;Chile
11043001;Marin Balmaceda;-43.7717;-72.9547;Cisnes;Aysén Province;Aysén;Chile
11120001;Puerto Puyuhuapi;-44.3228;-72.5597;Cisnes;Aysén Province;Aysén;Chile
11140001;Rio Cisnes;-44.4975;-71.3064;Lago Verde;Coihaique;Aysén;Chile
11144002;Cisnes Medio;-44.6653;-72.2661;Lago Verde;Coihaique;Aysén;Chile
11147003;Puerto Cisnes;-44.7278;-72.6814;Cisnes;Aysen;Aysén;Chile
11180000;Islas Huichas;-45.1553;-73.5164;Aysén;Aysen;Aysén;Chile
11300001;Estancia Bao Nuevo;-45.2669;-71.5292;Coyhaique;Coihaique;Aysén;Chile
11302002;Irehuao;-45.2706;-71.7092;Coyhaique;Coihaique;Aysén;Chile
11304001;Villa Maihuales;-45.1733;-72.1478;Aysén;Aysen;Aysén;Chile
11307002;Villa Ortega;-45.3719;-71.9822;Coyhaique;Coihaique;Aysén;Chile
11310003;Rio Blanco Chico Antes Junta Oscuro;-45.8853;-71.7211;Coyhaique;Coyhaique Province;Aysén;Chile
11316003;Coyhaique (Escuela Agricola);-45.5739;-72.0286;Coyhaique;Coyhaique Province;Aysén;Chile
11316004;Coyhaique Alto;-45.4803;-71.6044;Coyhaique;Coihaique;Aysén;Chile
11317001;Rio Simpson Bajo Junta Coyhaique;-45.5517;-72.0681;Coyhaique;Coihaique;Aysén;Chile
11317005;Coyhaique Conaf;-45.5511;-72.0589;Coyhaique;Coyhaique Province;Aysén;Chile
11318002;El Balseo;-45.4036;-72.4878;Aysén;Aysen;Aysén;Chile
11342001;Rio Aysen En Puerto Aysen;-45.4058;-72.6231;Aysén;Aysén Province;Aysén;Chile
11400001;Puerto Chacabuco;-45.4644;-72.8178;Aysén;Aysen;Aysén;Chile
11440000;Glaciar San Rafael;-46.6433;-73.8575;;;;
11503001;Villa Cerro Castillo;-46.1206;-72.1539;Coyhaique;Coyhaique Province;Aysén;Chile
11505001;Rio Ibaez En Desembocadura;-46.2692;-71.9908;Coyhaique;Coyhaique Province;Aysén;Chile
11513001;Bahia Murta;-46.4619;-72.6686;Río Ibáñez;General Carrera Province;Aysén;Chile
11514001;Rio Murta En Desembocadura;-46.4333;-72.7;Río Ibáñez;General Carrera;Aysén;Chile
11517002;Lago General Carrera En Desage;-46.8456;-72.8033;Chile Chico;General Carrera;Aysén;Chile
11521002;Chile Chico;-46.5436;-71.7089;Chile Chico;General Carrera Province;Aysén;Chile
11521005;Lago General Carrera Fachinal;-46.5425;-72.2267;Chile Chico;General Carrera Province;Aysén;Chile
11523002;Lago General Carrera En Puerto Guadal;-46.8411;-72.6975;Chile Chico;General Carrera Province;Aysén;Chile
11532000;Rio Nef Antes Junta Estero El Revalse;-47.1378;-73.0869;;;;
11533001;Estancia Valle Chacabuco;-47.1164;-72.4844;Cochrane;Capitan Prat;Aysén;Chile
11536001;Rio Cochrane En Cochrane;-47.2517;-72.5644;Cochrane;Capitán Prat Province;Aysén;Chile
11536004;Rio Baker En Angostura Chacabuco;-47.1414;-72.7258;Cochrane;Capitan Prat;Aysén;Chile
11540000;Lago Cachet 2 En Glaciar Colonia;-47.1981;-73.25;;;;
11541000;Rio Colonia En Nacimiento;-47.3392;-73.1147;Cochrane;Capitan Prat;Aysén;Chile
11546001;Caleta Tortel;-47.7997;-73.5358;Tortel;Capitán Prat Province;Aysén;Chile
11702000;Lago Ohiggins En Villa Ohiggins;-48.5169;-72.5953;O'higgins;Capitán Prat Province;Aysén;Chile
11704001;Candelario Mancilla;-48.8775;-72.7394;O'higgins;Capitan Prat;Aysén;Chile
11706000;Glaciar Ohiggins;-48.9272;-73.1172;;;;
11711000;Rio Pascua Ante Junta Rio Quetru;-48.1592;-73.0889;;;;
11800000;Jorge Montt;-48.2536;-73.4597;;;;
12000000;Glaciar Tempano;-48.8347;-74.1831;;;;
12273000;Glaciar Balmaceda;-51.4197;-73.1;;;;
12280002;Rio Paine En Parque Nacional 2;-50.9603;-72.7925;Torres de Paine;Ultima Esperanza;Magallanes y la Antártica Chilena;Chile
12280004;Lago Dickson;-50.8228;-73.1125;;;;
12280006;Lago Paine;-50.8414;-72.9047;;;;
12283001;Cerro Guido;-50.8986;-72.3314;;;;
12283003;Lago Pehoe;-51.0783;-72.9933;Torres de Paine;Ultima Esperanza;Magallanes y la Antártica Chilena;Chile
12284006;Rio Las Chinas En Cerro Guido;-51.0508;-72.5169;;;;
12284009;Lago Sarmiento;-51.0108;-72.7106;Torres de Paine;Ultima Esperanza;Magallanes y la Antártica Chilena;Chile
12284010;Cerro Castillo;-51.26;-72.3272;Torres de Paine;Ultima Esperanza;Magallanes y la Antártica Chilena;Chile
12286001;Torres Del Paine;-51.1842;-72.9669;;;;
12286002;Rio Rincon En Ruta Y-290;-51.3139;-72.8292;;;;
12287002;Lago Grey;-51.1114;-73.13;;;;
12288000;Glaciar Tindall;-51.1158;-73.2825;;;;
12288003;Rio Tindall En Desembocadura;-51.2564;-73.1561;;;;
12289001;Rio Serrano En Desembocadura;-51.3328;-73.1092;;;;
12293001;Puerto Natales;-51.7336;-72.4781;Natales;Última Esperanza;Magallanes and Chilean Antarctica;Chile
12400001;Casas Viejas;-51.6975;-72.3297;Natales;Ultima Esperanza;Magallanes y la Antártica Chilena;Chile
12400003;Rio Tranquilo En Ruta N 9;-51.8233;-72.1592;;;;
12402000;Lago Anibal Pinto;-52.0911;-72.4361;;;;
12403000;Seno Obstruccin;-52.2094;-72.4783;Natales;Ultima Esperanza;Magallanes y la Antártica Chilena;Chile
12440001;Rocallosas;-52.6514;-71.9631;Río Verde;Magallanes;Magallanes y la Antártica Chilena;Chile
12449001;Isla Riesco;-52.8819;-71.5706;;;;
12449002;Cordillera Riesco;-52.8425;-71.7642;;;;
12452001;Rio Perez En Desembocadura;-52.5492;-71.9747;;;;
12454001;Rio Verde;-52.6042;-71.5019;Río Verde;Magallanes;Magallanes y la Antártica Chilena;Chile
12530001;San Gregorio;-52.5664;-70.0706;San Gregorio;Magallanes;Magallanes y la Antártica Chilena;Chile
12582001;Rio San Juan En Desembocadura;-53.65;-70.9667;Punta Arenas;Magallanes;Magallanes y la Antártica Chilena;Chile
12582002;San Juan;-53.6514;-70.9578;Punta Arenas;Magallanes;Magallanes y la Antártica Chilena;Chile
12582003;Lago Parrillar;-53.4025;-71.2497;;;;
12585003;Leadura Alta;-53.2325;-71.1178;;;;
12586001;Rio Las Minas En Bt. Sendos;-53.1381;-70.9875;Punta Arenas;Magallanes Province;Magallanes and Chilean Antarctica;Chile
12586004;Punta Arenas;-53.1233;-70.8772;Punta Arenas;Magallanes Province;Magallanes and Chilean Antarctica;Chile
12586005;Laguna Lynch;-53.1444;-70.9831;Punta Arenas;Magallanes Province;Magallanes and Chilean Antarctica;Chile
12586006;Cerro Mirador;-53.1842;-71.0833;Punta Arenas;Magallanes Province;Magallanes and Chilean Antarctica;Chile
12586007;Las Minas;-53.1442;-70.9831;Punta Arenas;Magallanes Province;Magallanes and Chilean Antarctica;Chile
12586009;Canal De Trasvase Estero Llau-Llau;-53.125;-70.9358;Punta Arenas;Magallanes Province;Magallanes and Chilean Antarctica;Chile
12586010;Magdalena Giglio 2;-53.1397;-71.0561;Punta Arenas;Magallanes Province;Magallanes and Chilean Antarctica;Chile
12587000;Bitsch Alto;-53.0919;-71.0025;Punta Arenas;Magallanes Province;Magallanes and Chilean Antarctica;Chile
12600001;Rio Rubens En Ruta N 9;-52.03;-71.9414;Natales;Ultima Esperanza;Magallanes y la Antártica Chilena;Chile
